ID;AR;DE;EL;EN;ES;FI;FR;IT;JA;NL;PL;PT;RO;RU;SI;TR;UK;ZH
legal-screen.privacy.section-6.headline;نقل البيانات وتتبعها;Datenweitergabe und Tracking;Μεταφορά δεδομένων και παρακολούθηση;Data transfer and tracking;Transferencia y seguimiento de datos;Tiedonsiirto ja seuranta;Transfert et suivi des données;Trasferimento dati e tracciamento;データ転送とトラッキング;Gegevensoverdracht en -tracering;Przesyłanie i śledzenie danych;;Transfer de date și urmărire;Передача данных и отслеживание;දත්ත හුවමාරුව සහ ලුහුබැඳීම;Veri aktarımı ve takibi;Передача даних та відстеження;数据传输和跟踪
legal-screen.privacy.section-6.text;لا يوفر التطبيق تتبعًا آليًا أو نقل البيانات إلى مزود التطبيق أو الجهات الخارجية. الاستثناء الوحيد هو وظيفة التصدير. هناك ، ومع ذلك ، يقرر المستخدم فقط لمن يتم تمرير البيانات. خلاف ذلك ، تبقى جميع البيانات محليا على الهاتف الذكي للمستخدم.;Die App bietet keine automatisierte Trackingfunktion sowie Datenweitergabe an den App-Anbieter oder dritte Parteien. Die einzige Ausnahme bildet die Export-Funktion. Dort entscheidet aber ausschließlich der Nutzer an wen er die Daten weitergibt. Ansonsten bleiben alle Daten lokal auf dem Smartphone des Nutzers.;Η εφαρμογή δεν παρέχει αυτοματοποιημένη παρακολούθηση ή μεταφορά δεδομένων στον πάροχο της ή σε τρίτους. Η μόνη εξαίρεση είναι η λειτουργία εξαγωγής. Ωστόσο, μόνο ο χρήστης αποφασίζει σε ποιον διαβιβάζονται τα δεδομένα. Διαφορετικά, όλα τα δεδομένα παραμένουν τοπικά στο smartphone του χρήστη.;The app does not provide automated tracking or data transfer to the app provider or third parties. The only exception is the export function. There, however, only the user decides to whom the data is passed on. Otherwise, all data remains locally on the user's smartphone.;La aplicación no proporciona un seguimiento automatizado ni la transferencia de datos al proveedor de la aplicación o a terceros. La única excepción es la función de exportación. Sin embargo, allí sólo el usuario decide a quién se transfieren los datos. De lo contrario, todos los datos permanecen localmente en el smartphone del usuario.;Sovellus ei tarjoa automaattista seurantaa tai tiedonsiirtoa sovelluksen tarjoajalle tai kolmansille osapuolille. Ainoa poikkeus on vientitoiminto. Kuitenkin, silloinkin vain käyttäjä päättää kenelle tiedot siirretään. Muuten kaikki tiedot pysyvät paikallisesti käyttäjän älypuhelimella.;L'application ne fournit pas de suivi automatisé ou de transfert de données au fournisseur de l'application ou à des tiers. La seule exception est la fonction d'exportation. Dans ce cas, seul l'utilisateur décide à qui les données sont transmises. Sinon, toutes les données restent en local sur le smartphone de l'utilisateur.;L'app non fornisce il tracciamento automatico o il trasferimento di dati al fornitore dell'app o a terzi. L'unica eccezione è la funzione di esportazione. Qui, tuttavia, solo l'utente decide a chi trasmettere i dati. In caso contrario, tutti i dati rimangono localmente sullo smartphone dell'utente.;このアプリでは、自動追跡やアプリ提供者や第三者へのデータ転送は行っていません。唯一の例外はエクスポート機能です。ただし、そこではユーザーのみがデータを誰に渡すかを決定します。それ以外の場合、すべてのデータはユーザーのスマートフォンのローカル領域に残ります。;De app biedt geen geautomatiseerde tracking of gegevensoverdracht aan de app-provider of aan derden. De enige uitzondering is de exportfunctie. Daar beslist echter alleen de gebruiker aan wie de gegevens worden doorgegeven. Anders blijven alle gegevens lokaal op de smartphone van de gebruiker staan.;Aplikacja nie zapewnia automatycznego śledzenia lub przesyłania danych do dostawcy aplikacji lub osób trzecich. Jedynym wyjątkiem jest funkcja eksportu. Tam jednak tylko użytkownik decyduje, komu dane są przekazywane. W przeciwnym razie wszystkie dane pozostają lokalnie na smartfonie użytkownika.;;Aplicația nu oferă urmărire automată sau transfer de date furnizorului de aplicații sau terților. Singura excepție este funcția de export. Totuși, numai utilizatorul decide cui cui sunt transmise datele. În caz contrar, toate datele rămân local pe smartphone-ul utilizatorului.;Приложение не обеспечивает автоматического отслеживания или передачи данных поставщику приложения или третьим лицам. Единственным исключением является функция экспорта. Там, однако, только пользователь решает, кому будут переданы данные. В противном случае все данные остаются локально на смартфоне пользователя.;යෙදුම සැපයුම්කරුට හෝ තෙවන පාර්ශවයකට ස්වයංක්‍රීයව ලුහුබැඳීම හෝ දත්ත හුවමාරුව ලබා නොදේ. එකම ව්යතිරේකය වන්නේ අපනයන ක්රියාකාරිත්වයයි. කෙසේ වෙතත්, එහිදී දත්ත ලබා දිය යුත්තේ කාටද යන්න තීරණය කරන්නේ පරිශීලකයා පමණි. එසේ නොමැතිනම්, සියලු දත්ත පරිශීලකයාගේ ස්මාර්ට් ජංගම දුරකතනයේ දේශීයව පවතී.;Uygulama, uygulama sağlayıcısına veya üçüncü taraflara otomatik izleme veya veri aktarımı sağlamaz. Tek istisna aktarma işlevidir. Ancak orada yalnızca kullanıcı verilerini kime aktarılacağına karar verir. Aksi takdirde tüm veriler kullanıcının akıllı telefonunda yerel olarak kalır.;Додаток не забезпечує автоматичне відстеження або передачу даних постачальнику додатків або третім сторонам. Єдиний виняток - функція експорту. Однак, тільки користувач вирішує, кому передавати дані. В іншому випадку всі дані залишаються локально на смартфоні користувача.;该应用不提供自动跟踪或数据传输给应用提供商或第三方的功能。唯一的例外是导出功能。然而，在这里，只有用户才能决定将数据传递给谁。否则，所有的数据都保留在用户的智能手机里。
legal-screen.tabs.imprint.label;بصمة;Impressum;Στοιχεία έκδοσης ;Imprint;Pie de imprenta;Jälki;Mentions légales;Impronta;バージョンの説明;Impressum;Drukuj;;Imprima;Вывод;මුද්‍රණය;baskı bilgileri;Відбиток;版本说明
legal-screen.tabs.licenses.label;التراخيص;Lizenzen;Άδειες;Licenses;Licencias;lisenssit;Licences;Licenze;ライセンス;Licenties;Licencje;;Licențe;Лицензии;බලපත්ර;Lisanslar;Ліцензії;许可证
legal-screen.tabs.privacy.label;خصوصية;Datenschutz;Προστασία δεδομένων ;Privacy;Privacidad;Yksityisyys;Vie privée;Privacy;個人情報の取り扱いについて;Privacy;Ochrona danych;;Confidentialitate;Конфиденциальность;පෞද්ගලිකත්වය;Gizlilik;Конфіденційність;隐私政策
locations;المواقع;Orte;τοποθεσίες;locations;lugares;Sijainnit;lieux;luoghi;場所;Locaties;lokalizacje;;locații;местоположения;ස්ථාන;Konum;локації;地点
menu-screen.button.send-feedback;ارسل رأيك;Feedback senden;Στείλε τα σχόλιά σου;Send feedback;Envíe sus comentarios.;Lähetä palautetta;Envoie tes commentaires;Invia un feedback;フィードバックを送る;Feedback sturen;Wyślij informację zwrotną;;Trimite feedback;Отправить отзыв;ප්‍රතිචාරය යවන්න;Geribildirim yolla;Надіслати відгук;发送反馈信息
menu-screen.header.headline;قائمة ;Menü;Μενού;Menu;Menú;Valikko;Menu;Menu;メニュー;Menu;Menu;;Meniul;Меню;මෙනුව;Menü;Меню;菜单
menu-screen.intro.text;من المهم عدم نشر الذعر ولكن لخلق الوضوح ونشر المعلومات الصحيحة.;Wichtig ist es keine Panik zu verbreiten sondern Klarheit zu schaffen und richtige Informationen zu verbreiten.;Είναι σημαντικό να μην εξαπλωθεί πανικός, αλλά να δημιουργηθεί σαφήνεια και να διαδοθούν σωστές πληροφορίες.;It is important not to spread panic but to create clarity and spread correct information.;Es importante no propagar el pánico, sino crear claridad y difundir información correcta.;Tärkeää ei ole levittää paniikkia, vaan luoda selkeyttä ja levittää paikkansapitävää tietoa.;Il est important de ne pas semer la panique, mais de créer la clarté et de diffuser des informations correctes.;È importante non diffondere il panico, ma creare chiarezza e diffondere informazioni corrette.;パニックを広げるのではなく、明確な情報を作り、正しい情報を広めることが大切です。;Het is belangrijk om geen paniek te zaaien, maar om duidelijkheid te scheppen en correcte informatie te verspreiden.;Ważne jest, aby nie szerzyć paniki, ale tworzyć jasność i rozpowszechniać prawidłowe informacje.;;Este important să nu răspândim panica, ci să creăm claritate și să răspândim informații corecte.;Важно не сеять панику, а создавать ясность и распространять правильную информацию.;වැදගත් වන්නේ භීතිකාව පැතිරවීම නොව පැහැදිලි බවක් ඇති කිරීම සහ නිවැරදි තොරතුරු පැතිරවීම ය.;Panik yaymak değil, netlik yaratmak ve doğru bilgileri yaymak önemlidir.;Важливо не поширювати паніку, а створити чіткість і поширити правильну інформацію.;重要的是，不要散布恐慌，而是要建立起真实信息的透明化，传递正确的信息。
navigation.dashboard.label;مذكرات;Tagebuch;Ημερολόγιο;Diary;Diario;Päiväkirja;Journal intime;Diario;日記;Dagboek;Dziennik;;Jurnal;Дневник;දිනපොත;Günlük;Щоденник;日记
navigation.directory.label;الدليل;Verzeichnis;Κατάλογος;Directory;Directorio;Hakemisto;Répertoire;Elenco;ディレクトリ;Directory;Katalog;;Registru;Каталог;නාමාවලිය;Rehber;Довідник;目录
navigation.share.label;مشاركة;Teilen;Κοινοποίηση;Share;Comparte;Jaa;Partager;Condividi;共有;Delen;Podziel się;;Distribuie;Поделиться;බෙදාගන්න;Paylaşmak;Поділитися;分享
navigation.tips.label;نصائح;Tipps;Συμβουλές;Tips;Consejos;Vinkit;Conseils;Suggerimenti;ヒント;Tips;Porady;;sfaturi;Советы;ඉඟි;İpuçları;Поради;小贴士
notifications.diary.headline;📒  تسجيل جهات الاتصال الخاصة بك;📒 Trage deine Kontakte ein;📒 Κατέγραψε τις επαφές σου;📒 Log your contacts;📒 Registra tus contactos;📒 Kirjaa ylös kontaktisi;📒 Enregistre vos contacts;📒 Registra i tuoi contatti;📒 連絡先を記録する;📒 Registreer uw contacten;📒Podaj swóje kontakty;;📒 Conecteaza-ti contactele;📒 Зарегистрируйте ваши контакты;📒 ඔබගේ සම්බන්ධතා ලොග් කරන්න;📒 Kişilerini günlüğe kaydet.;📒 Реєструйте свої контакти;📒 添加您的联系人
notifications.diary.text;قم بتسجيل جهات الاتصال القريبة الخاصة بك وساعد في إبطاء انتشار الفيروس كورونا.;Trage deine engen Kontakte ein und unterstütze bei der Eindämmung des Virus.;Κατέγραψε τις στενές επαφές σου και κάνε μια συμβολή στην επιβράδυνση της εξάπλωσης του κορωνοϊού.;Log your close contacts and help slowing down the spread of the coronavirus.;Registra tus contactos cercanos y ayuda a frenar la propagación del coronavirus.;Kirjaa läheiset kontaktisi ja auta hidastamaan koronaviruksen leviämistä.;Enregistre tes contacts proches et contribue à ralentir la propagation du coronavirus.;Registra i tuoi contatti più stretti e aiuta a rallentare la diffusione del coronavirus.;密接な連絡先を記録し、コロナウイルスの拡散を遅らせます。;Log uw nauwe contacten in en help de verspreiding van het coronavirus te vertragen.;Zaloguj swoje bliskie kontakty i pomóż spowolnić rozprzestrzenianie się koronaawirusa.;;Conecteaza-ti contactele strânse și ajuta la încetinirea răspândirii coronavirusului.;Зарегистрируйте ваши близкие контакты и помогите замедлить распространение коронавируса.;ඔබගේ සමීප සම්බන්ධතා සටහන් කර කොරෝනා වෛරසය පැතිරීම මන්දගාමී කිරීමට උදව් කරන්න.;Yakın kişilerini kaydet ve koronavirüsün yayılmasını yavaşlatmaya yardımcı ol.;Запишіть тісні контакти та допоможіть уповільнити поширення коронавірусу.;添加您的亲密联系人，并帮助减缓新冠病毒的传播。
notifications.disinfect-smartphone.variant-1.headline;📱🧽 تنظيف شاشة هاتفك الذكي;📱🧽 Reinige dein Smartphone;📱🧽 Καθάρισε την οθόνη του smartphone σου;📱🧽 Clean your smartphone screen;📱🧽 Limpia la pantalla de tu smartphone;📱🧽 Puhdista älypuhelimesi näyttö;📱🧽 Nettoie l'écran de ton smartphone;📱🧽 Pulisci lo schermo del tuo smartphone;📱🧽 スマートフォンの画面をきれいにする;📱🧽 Maak het scherm van uw smartphone schoon;📱🧽 Wyczyść ekran swojego smartfonu;;📱🧽 Curăța-ti ecranul smartphone-ului;📱🧽 Продезинфицируйте  экран смартфона.;📱🧽 ඔබගේ ස්මාර්ට්ෆෝන් තිරය පිරිසිදු කරන්න;📱🧽 Akıllı telefon ekranını temizle.;📱🧽 Очистіть екран свого смартфона;📱🧽 清洁您的智能手机屏幕
notifications.disinfect-smartphone.variant-1.text;قم بإزالة الجراثيم عن طريق تنظيف الشاشة بمسحة مطهرة.;Befreie dein Handy von möglichen Keimen mit einem Desinfektionstuch.;Απομάκρυνε τα μικρόβια καθαρίζοντας την οθόνη σου με ένα απολυμαντικό καθαριστικό.;Remove germs by cleaning your screen with a disinfectant wipe.;Elimina los gérmenes limpiando la pantalla con un paño desinfectante.;Poista bakteerit puhdistamalla näyttö desinfiointiaineella.;Elimine les germes en nettoyant ton écran avec une lingette désinfectante.;Rimuovi i germi pulendo lo schermo con un panno disinfettante.;消毒用ワイプで画面をクリーニングして、細菌を取り除きます。;Verwijder ziektekiemen door uw scherm te reinigen met een ontsmettingsdoekje.;Usuń zarazki, czyszcząc ekran ściereczką dezynfekującą.;;Îndepărteaza germenii curățând ecranul cu un ștergător dezinfectant.;Очистите поверхность телефона от микробов, протерев его дезинфицирующей салфеткой.;පිරිසිදු පිසදැමීමකින් ඔබේ තිරය පිරිසිදු කිරීමෙන් විෂබීජ ඉවත් කරන්න.;Ekranını dezenfektan mendille temizleyerek mikroplardan arındır.;Видаліть мікроби, очистивши екран за допомогою дезінфікуючого засобу.;用消毒湿巾清洁屏幕以清除细菌。
notifications.disinfect-smartphone.variant-2.headline;📱🧽 حافظ على نظافة شاشتك;📱🧽 Halte deinen Bildschirm sauber;📱🧽 Κράτα την οθόνη σου καθαρή;📱🧽 Keep your screen clean;📱🧽 Mantén tu pantalla limpia;📱🧽 Pidä näyttösi puhtaana;📱🧽 Garde ton écran propre;📱🧽 Mantenete pulito il vostro schermo;📱🧽 画面を清潔に保つ;📱🧽 Houd uw scherm schoon;📱🧽 Utrzymuj swój ekran w czystości;;📱🧽 Păstreaza ecranul curat;📱🧽 Держите экран в чистоте.;📱🧽 ඔබගේ තිරය පිරිසිදුව තබා ගන්න;📱🧽 Akıllı telefonunu temiz tut.;📱🧽 Підтримуйте чистий екран;📱🧽保持屏幕清洁
notifications.disinfect-smartphone.variant-2.text;حرر شاشتك من العديد من الجراثيم والبكتيريا ومسببات الأمراض الأخرى.;Desinfiziere deinen Screen von unzähligen Keimen, Bakterien und anderen Erregern.;Απομάκρυνε από την οθόνη σου διάφορα μικρόβια, βακτήρια και άλλα παθογόνα.;Free your screen from numerous germs, bacteria and other pathogens.;Libera tu pantalla de numerosos gérmenes, bacterias y otros patógenos.;Vapauta näyttösi lukuisista pöpöistä, bakteereista ja muista taudinaiheuttajista.;Libère votre écran de nombreux germes, bactéries et autres agents pathogènes.;Liberate il vostro schermo da numerosi germi, batteri e altri agenti patogeni.;スマートフォンの画面から多数の細菌、バクテリア、その他の病原体を取り除きましょう。;Bevrijd uw scherm van talrijke ziektekiemen, bacteriën en andere ziekteverwekkers.;Uwolnij swój ekran od licznych zarazków, bakterii i innych patogenów.;;Elibereaza-ti ecranul de numeroși germeni, bacterii și alți agenți patogeni.;Очистите экран от многочисленных микробов, бактерий и других патогенных микроорганизмов.;විෂබීජ, බැක්ටීරියා සහ වෙනත් රෝග කාරක වලින් ඔබේ තිරය නිදහස් කරන්න.;Çok sayıda mikrop, bakteri ve diğer patojenlerden ekranını kurtar.;Очистіть екран від численних мікробів, бактерій та інших патогенних мікроорганізмів.;使您的屏幕摆脱各种细菌，病菌和其他病原体的侵害。
notifications.disinfect-smartphone.variant-3.headline;📱🧽 طهر هاتفك;📱🧽 Desinfiziere dein Handy;📱🧽 Καθάρισε το τηλέφωνό σου;📱🧽 Disinfect your phone;📱🧽 Desinfecta tu teléfono;📱🧽 Puhdista puhelimesi;📱🧽 Désinfecter ton téléphone;📱🧽 Disinfetta il tuo telefono;📱🧽 スマートフォンを消毒する;📱🧽 Desinfecteer uw telefoon;📱🧽 Odezynfekuj swój telefon;;📱🧽 Dezinfecteaza telefonul;📱🧽 Дезинфекция телефона.;📱🧽 ඔබගේ දුරකථනය විෂබීජහරණය කරන්න;📱🧽 Telefonunu dezenfekte et;📱🧽 Дезінфікуйте телефон;📱🧽 对手机进行消毒
notifications.disinfect-smartphone.variant-3.text;الحفاظ على تعقيم هاتفك طريقة ذكية أخرى لإبعاد الجراثيم عن متناول يدك.;Die Reinigung deines Handys ist eine smarte Methode, um Erreger an deinen Händen zu reduzieren.;Κρατώντας το τηλέφωνο σου καθαρό είναι άλλος ένας έξυπνος τρόπος για να κρατήσεις τα μικρόβια μακριά από τα δάχτυλά σου.;Keeping your phone sanitized is another smart way to keep germs off your fingertips.;Mantener el teléfono limpio es otra forma inteligente de evitar que los gérmenes entren en contacto con la punta de los dedos.;Puhelimesi puhdistaminen on toinen fiksu tapa pitää bakteerit poissa sormenpäistäsi.;L'aseptisation de ton téléphone est un autre moyen intelligent d'éloigner les germes du bout de tes doigts.;Mantenere il telefono igienizzato è un altro modo intelligente per tenere i germi lontani dalla punta delle dita.;スマートフォンを無菌状態に保つことは、指をバクテリアから防ぐ効果があります。;Je telefoon schoonhouden is een andere slimme manier om ziektekiemen van je vingertoppen af te houden.;Utrzymywanie telefonu w czystości to kolejny sprytny sposób na trzymanie zarazków z dala od palców.;;Menținerea telefonului igienizat este un alt mod inteligent de a-ți reduce germenii.;Держать телефон дезинфицированным - еще один умный способ держать микробов подальше от кончиков пальцев.;ඔබගේ දුරකථනය සනීපාරක්ෂාව තබා ගැනීමෙන් විෂබීජ ඔබගේ ඇඟිලි තුඩු වලින් වළක්වා ගත හැකිය.;Telefonu temiz tutmak, eldeki mikropları azaltir.;Дезинфікування вашого телефону - ще один розумний спосіб утримати мікроби від пальців.;保持手机清洁是防止细菌滋生的另一种好方法。
notifications.washing-hands.variant-1.headline;🤚💧 اغسل يديك;🤚💧Händewaschen;🤚💧 Πλύνε τα χέρια σου;🤚💧 Wash your hands;🤚💧 Lávate las manos;Pese kätesi;🤚💧 Lave-toi les mains;🤚💧 Lavare le mani;🤚💧 手を洗いましょう;🤚💧 Was je handen;🤚💧 Umyj ręce;;🤚💧 Spăla-te pe mâini;🤚💧 Помойте руки;🤚💧 ඔබේ අත් සෝදන්න;🤚💧 Ellerini yıka;🤚💧 Помий руки;🤚💧洗手
notifications.washing-hands.variant-1.text;إذا كنت بالخارج ، اغسل يديك جيدًا.;Wenn du unterwegs warst, solltest du zunächst deine Hände gründlich waschen.;Εάν έχεις βγεί έξω, καθάρισε τα χέρια σου καλά.;If you've been out wash your hands thoroughly.;Si has estado fuera lávate bien las manos.;Pese kätesi huolellisesti, jos olet ollut ulkona.;Si tu es sorti, lave-toi soigneusement les mains.;Se sei stato fuori, lavati bene le mani.;外出した場合は、手をよく洗ってください。;Als je buiten bent geweest, was dan je handen grondig.;Jeśli byłeś na zewnątrz, umyj dokładnie ręce.;;Dacă ai fost afară, iti speli bine mâinile.;Если вы были на улице, тщательно вымойте руки.;ඔබ පිටතට ගොස් ඇත්නම් හොඳින් අත් සේදීම.;Dışarıdan geldiysen ellerini iyice yıka.;Якщо ви не були, вимийте руки ретельно.;如果您出门在外，请认真彻底的洗手。
notifications.washing-hands.variant-2.headline;🤚💧 هل غسلت يديك؟;🤚💧Hände gewaschen? ;"🤚💧 Έπλυνες τα χέρια σου;";🤚💧 Did you wash your hands?;🤚💧 ¿Te has lavado las manos?;🤚💧 Pesitkö kätesi?;🤚💧 Tu es-toi lavé les mains ?;🤚💧 Ti sei lavato le mani?;🤚💧 手を洗いましたか？;🤚💧 Heb je je handen gewassen?;🤚💧 Czy umyłeś ręce?;;🤚💧 Te-ai spălat pe mâini?;🤚💧 Вы мыли руки?;🤚💧 ඔබ අත් සෝදා ගත්තාද?;🤚💧 Ellerini yıkadın mı?;🤚💧 Чи помили ви руки?;🤚💧 你洗手了吗？
notifications.washing-hands.variant-2.text;يعد غسل يديك من أبسط الطرق التي يمكنك من خلالها حماية نفسك والآخرين من الأمراض.;Regelmäßiges Händewaschen ist die einfachste Maßnahme, um einer Infektion vorzubeugen.;Το πλύσιμο των χεριών σου είναι ένας από τους απλούστερους τρόπους για να προστατέψεις τον εαυτό σου και τους άλλους από ασθένειες.;Washing your hands is one of the simplest ways you can protect yourself and others from illnesses.;Lavarse las manos es una de las formas más simples de protegerse a sí mismo y a los demás de las enfermedades.;Käsien pesu on yksinkertaisin tapa suojata itseäsi ja muita sairauksilta.;Se laver les mains est l'un des moyens les plus simples de se protéger et de protéger les autres contre les maladies.;Lavarsi le mani è uno dei modi più semplici per proteggere se stessi e gli altri dalle malattie.;手を洗うことは、自分や他の人を病気から守る最も簡単な方法の1つです。;Het wassen van je handen is een van de eenvoudigste manieren om jezelf en anderen te beschermen.;Mycie rąk jest jednym z najprostszych sposobów, aby chronić siebie i innych przed chorobami.;;Spălarea mâinilor este una dintre cele mai simple metode prin care te poți proteja pe tine și pe ceilalți de boli.;Мытье рук - один из самых простых способов защитить себя и других от болезней.;ඔබේ අත් සේදීම ඔබට සහ අනෙක් අයට රෝගවලින් ආරක්ෂා කර ගත හැකි සරලම ක්‍රමයකි.;Ellerini yıkamak, kendini ve diğerlerini hastalıklardan korumanın en basit yollarından biridir.;Миття рук - один з найпростіших способів захистити себе та інших від хвороб.;洗手是保护自己和他人免受疾病侵害的最简单方法之一。
notifications.washing-hands.variant-3.headline;🤚💧 لا تنسى انامل يديك!;🤚💧Fingerkuppen nicht vergessen!;🤚💧 Μην ξεχάσεις τις άκρες των δαχτύλων σου!;🤚💧 Don't forget your tips!;🤚💧 ¡No olvides tus consejos!;🤚💧 Älä unohda sormenpäitäsi!;🤚💧 N'oublie pas tes conseils !;🤚💧 Non dimenticate i vostri consigli!;🤚💧 ヒントを忘れないでください！;🤚💧 Vergeet de tips niet!;🤚💧 Nie zapomnij o swoich wskazówkach!;;🤚💧 Nu uita varful degetelor!;🤚💧 Не забывайте о советах!;🤚💧 ඔබේ ඉඟි අමතක නොකරන්න!;🤚💧 parmak uçlarını unutma!;🤚💧 Не забудьте свої поради!;🤚💧 不要忘记您的提示！
notifications.washing-hands.variant-3.text;تدرب على غسل اليدين بعناية ولا تنس تنظيف أطراف أصابعك والمسافة بين الأصابع.;Wasche deine Hände bewusst und denke auch an die Kuppen und Stellen zwischen den Fingern. ;Πλείνε τα χέρια σου με προσοχή και μην ξεχάσεις να καθαρίσεις τις άκρες των δακτύλων σου και το διάστημα μεταξύ των δακτύλων.;Practice mindful hand washing and don't forget to clean your finger tips and the space between fingers.;Practica el lavado de manos con cuidado y no olvides limpiar las puntas de los dedos y el espacio entre ellos.;Harjoittele huolellista käsipesua äläkä unohda puhdistaa sormenpäitä ja sormenvälejä.;Pratique le lavage des mains en faisant attention et n'oublie pas de nettoyer le bout de vos doigts et l'espace entre vos doigts.;Esercitatevi a lavarvi le mani con attenzione e non dimenticate di pulire le punte delle dita e lo spazio tra le dita.;念入りに手洗いを練習し、指先と指の間をきれいにすることを忘れないでください。;Was je handen altijd goed en vergeet niet vingertoppen en de ruimte tussen vingers.;Ćwiczcie uważne mycie rąk i nie zapomnijcie umyć końcówek palców i przestrzeni między palcami.;;Exerseaza spălarea atentă a mâinilor și nu uita să iti cureti vârfurile degetelor și spațiul dintre degete.;Практикуйте тщательное мытье рук и не забывайте мыть кончики пальцев и пространство между пальцами.;සිහියෙන් යුතුව අත් සේදීම පුහුණු වන්න. ඔබේ ඇඟිලි තුඩු සහ ඇඟිලි අතර ඇති ඉඩ පිරිසිදු කිරීමට අමතක නොකරන්න.;Dikkatli el yıkama alıştırmaları yap ve parmak uçlarını ve parmaklar arasındaki boşluğu temizlemeyi unutma.;Займайтесь уважним миттям рук і не забудьте очистити кінчики пальців і простір між пальцями.;洗手的时候不要忘记清洁指尖和手指之间的缝隙。
overview-screen.export.button;نظرة عامة على التصدير;Übersicht exportieren;Σύνοψη εξαγωγών;Export overview;Resumen de la exportación;Vie yleiskatsaus;Aperçu des exportations;Panoramica delle esportazioni;エクスポートの概要;Overzicht exporteren;Eksportuj Przegląd;;Prezentare generală a exporturilor;Обзор экспорта;දළ විශ්ලේෂණය අපනයනය;Özeti aktarmak;Огляд експорту;导出概要
overview-screen.header.headline;نظرة عامة;Übersicht;Σύνοψη ;Overview;Visión general;Yleiskatsaus;Vue d'ensemble;Panoramica;概要;Overzicht;Przegląd;;Prezentare generală;Обзор;දළ විශ්ලේෂණය;Özet;Огляд;概要
persons;الأشخاص;Personen;επαφές;persons;personas;Yhteystiedot;personnes;persone;連絡先;Personen;osoby;;persoane;лица;පුද්ගලයන්;Kişiler;осіб;联系人
placeholder.search-input;بحث;Suche;Αναζήτηση;Search;Busca en;Hae;Recherche;Ricerca;探す;Opzoeken;Szukaj;;Căutare;Поиск;සොයන්න;Arama;Пошук;搜索
settings-screen.header.headline;الإعدادات;Einstellungen;Ρυθμίσεις;Settings;Ajustes;Asetukset;Paramètres;Impostazioni;設定;Instellingen;Ustawienia;;Setări;Настройки;සැකසුම්;Ayarlar;Налаштування;设置
settings-screen.notifications.diary.headline;تذكير لاستخدام مذكرات;Tagebuch nutzen;Υπενθύμιση για χρήση ημερολογίου;Reminder to use diary;Recordatorio para usar el diario;Muistutus päiväkirjan käytöstä;Rappel d'utiliser le journal intime;Promemoria per l'utilizzo del diario;日記を使うときの注意点;Herinnering aan het gebruik van het dagboek;Przypomnienie do korzystania z dziennika;;Memento pentru a utiliza jurnalul;Напоминание об использовании дневника;දිනපොත භාවිතා කිරීමට මතක් කිරීම;Günlük kullanma hatırlatıcısı;Нагадування про використання щоденника;提醒使用日记
settings-screen.notifications.diary.option.label;التذكير يومياً;täglich erinnern;καθημερινή υπενθύμιση ;remind daily;recuerda a diario;Muistuta päivittäin;rappeler quotidiennement;ricordare ogni giorno;毎日のリマインド;Herinner me er dagelijks aan;przypominać codziennie;;reamintesc zilnic;напоминать ежедневно;දිනපතා මතක් කරන්න;Günlük hatırlat;нагадуйте щодня;每日提醒
settings-screen.notifications.disinfect-smartphone.headline;تذكير لتطهير الهاتف;Smartphone desinfizieren;Υπενθύμιση για την απολύμανση του τηλεφώνου;Reminder to disinfect phone;Recordatorio para desinfectar el teléfono;Muistutus puhelimen desinfioimisesta;Rappel de désinfecter le téléphone;Promemoria per disinfettare il telefono;スマホを消毒するためのリマインド;Herinnering aan het desinfecteren van de telefoon;Przypomnienie do dezynfekcji telefonu;;Memento pentru dezinfectarea telefonului;Напоминание о необходимости дезинфекции телефона;දුරකථනය විෂබීජහරණය කිරීමට මතක් කිරීම;Telefonu dezenfekte etmek için hatırlatma.;Нагадування про дезінфекцію телефону;要对手机进行消毒
settings-screen.notifications.disinfect-smartphone.option.label;التذكير يومياً;täglich erinnern;καθημερινή υπενθύμιση ;remind daily;recuerde a diario;Muistuta päivittäin;rappeler quotidiennement;ricordare ogni giorno;毎日のリマインド;Herinner me er dagelijks aan;przypominać codziennie;;reamintesc zilnic;напоминать ежедневно;දිනපතා මතක් කරන්න;Günlük hatırlat;нагадуйте щодня;每日提醒
settings-screen.notifications.headline;إشعارات;Benachrichtigungen;Ειδοποιήσεις;Notifications;Notificaciones;Ilmoitukset;Notifications;Notifiche;お知らせ;Kennisgevingen;Powiadomienia;;notificări;Уведомления;දැනුම්දීම්;Bildirimler;Сповіщення;通知
settings-screen.notifications.washing-hands.headline;تذكير لغسل اليدين;Händewaschen;Υπενθύμιση για το πλύσιμο των χεριών;Reminder to wash hands;Recordatorio para lavarse las manos;Muistutus pestä kädet;Rappel sur le lavage des mains;Promemoria per lavarsi le mani;手を洗うときの注意点;Herinnering om handen te wassen;Przypomnienie o konieczności umycia rąk;;Memento pentru spălat mâinile;Напоминание помыть руки;අත් සේදීමට මතක් කරන්න;Elleri yıkamak için hatırlatma;Нагадування мити руки;提醒要洗手
